,City,Country,Lat,Lng,Hotel Name
0,banda aceh,IN,25.4833,80.3333,Hotel Sarang Intercontinental
1,pawai,IN,24.2667,80.1667,Vardhaman Laaj
2,bhanpuri,IN,21.1,80.9167,Aqua Village Water Park And Resort
3,bharatpur,IN,27.2167,77.4833,The Bagh
4,bokoro,TD,12.3807,17.0568,
5,abeche,TD,13.8292,20.8324,Hotel Cesar
6,lahan,NP,26.7296,86.4951,Hotel Godhuli
7,bilma,NE,18.6853,12.9164,
8,farrukhabad,IN,27.4,79.5667,SHRI GURU SHARNAM PALACE
9,kota bahru,IN,25.1833,75.8333,Country Inn & Suites by Radisson Kota
10,yumen,CN,40.2833,97.2,
11,hami,CN,42.8,93.45,Tianma Hotel
12,laguna,US,38.421,-121.4238,Hilton Garden Inn Sacramento Elk Grove
13,waddan,LY,29.1614,16.139,
14,bafoulabe,ML,13.8065,-10.8321,
15,jackson,US,42.4165,-122.8345,Courtyard by Marriott Medford Airport
16,guadalajara,MX,20.6667,-103.3333,"AC Hotel by Marriott Guadalajara, Mexico"
17,tessalit,ML,20.1986,1.0114,
18,saucillo,MX,28.0167,-105.2833,Saucillo Inn
19,jinchang,CN,38.4953,102.1739,龙首山庄
20,fairbanks,US,64.8378,-147.7164,Best Western Plus Chena River Lodge
21,roebourne,AU,-20.7833,117.1333,Latitude20 Roebourne Village
22,gao,ML,16.6362,1.6369999999999998,
23,awbari,LY,26.5921,12.7805,
24,khandbari,NP,27.3747,87.2039,Hotel Barun Sankhuwasabha
25,erenhot,CN,43.6475,111.9767,Erlian Pacific International Hotel
26,adrar,MR,20.5022,-10.0711,
27,awjilah,LY,29.1081,21.2869,
28,surt,LY,31.2089,16.5887,Sea Hotel
29,lakes entrance,US,61.6071,-149.3086,Grand View Inn & Suites
30,herat,AF,34.5,62.0,
31,atar,MR,20.5169,-13.0499,نزل البحر والصحراء
32,kazerun,IR,29.6195,51.6541,Bishapour Hotel
33,hovd,MN,48.0056,91.6419,Steppe hotel
