City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
banda aceh,0,IN,1619574736,5,25.4833,80.3333,92.59,9.44
pawai,0,IN,1619574736,6,24.2667,80.1667,90.23,4.83
bhanpuri,5,IN,1619574853,8,21.1,80.9167,90.68,1.79
bharatpur,0,IN,1619574855,8,27.2167,77.4833,91.15,4.74
bokoro,0,TD,1619574887,9,12.3807,17.0568,83.12,12.73
abeche,0,TD,1619574830,10,13.8292,20.8324,78.26,8.81
lahan,0,NP,1619574722,11,26.7296,86.4951,91.62,7.16
bilma,0,NE,1619574815,11,18.6853,12.9164,85.6,5.37
farrukhabad,0,IN,1619574810,11,27.4,79.5667,91.18,3.85
kota bahru,2,IN,1619574874,12,25.1833,75.8333,87.84,10.0
yumen,94,CN,1619574810,13,40.2833,97.2,59.68,23.85
hami,100,CN,1619574870,13,42.8,93.45,61.93,3.15
laguna,1,US,1619574800,14,38.421,-121.4238,78.8,10.36
waddan,17,LY,1619574852,14,29.1614,16.139,78.78,8.57
bafoulabe,82,ML,1619574787,15,13.8065,-10.8321,96.57,6.17
jackson,1,US,1619574766,15,42.4165,-122.8345,72.0,5.75
guadalajara,75,MX,1619574681,15,20.6667,-103.3333,82.4,8.05
tessalit,3,ML,1619574726,16,20.1986,1.0114,86.56,2.44
saucillo,48,MX,1619574862,17,28.0167,-105.2833,76.53,16.62
jinchang,4,CN,1619574727,17,38.4953,102.1739,54.14,18.9
fairbanks,1,US,1619574882,17,64.8378,-147.7164,50.0,10.36
roebourne,0,AU,1619574786,19,-20.7833,117.1333,87.42,16.69
gao,43,ML,1619574814,19,16.6362,1.637,87.46,8.59
awbari,89,LY,1619574761,20,26.5921,12.7805,84.15,12.82
khandbari,9,NP,1619574819,20,27.3747,87.2039,80.87,0.07
erenhot,91,CN,1619574515,20,43.6475,111.9767,48.65,20.65
adrar,26,MR,1619574754,21,20.5022,-10.0711,79.27,13.94
awjilah,0,LY,1619574821,21,29.1081,21.2869,73.09,10.58
surt,100,LY,1619574896,22,31.2089,16.5887,81.12,20.27
lakes entrance,75,US,1619574791,23,61.6071,-149.3086,60.8,11.5
herat,0,AF,1619574741,24,34.5,62.0,57.2,5.82
atar,97,MR,1619574532,25,20.5169,-13.0499,79.45,5.75
kazerun,5,IR,1619574860,25,29.6195,51.6541,70.25,2.86
hovd,100,MN,1619574850,26,48.0056,91.6419,51.22,5.84
korla,49,CN,1619574878,27,41.7597,86.1469,63.3,5.91
sakakah,0,SA,1619574881,27,29.9697,40.2064,62.6,4.61
birjand,40,IR,1619574770,27,32.8663,59.2211,64.4,9.22
saint-tite,16,CA,1619574805,28,46.7334,-72.5658,53.6,3.44
sao gabriel da cachoeira,9,IN,1619574668,29,20.5113,76.2129,83.77,10.4
sao filipe,9,IN,1619574732,29,20.5113,76.2129,83.77,10.4
shizilu,100,CN,1619574488,30,35.1711,118.8289,66.06,10.27
blairmore,90,CA,1619574856,30,49.6,-114.4353,55.4,20.71
komsomolskiy,0,UZ,1619574772,30,40.4272,71.7189,68.0,6.91
saint-raymond,100,CA,1619574737,30,45.467,-73.6095,55.4,2.3
nizwa,100,OM,1619574727,30,22.9333,57.5333,79.39,0.51
san roque,87,ML,1619574645,31,13.3034,-4.8956,91.51,10.13
san cristobal,87,ML,1619574645,31,13.3034,-4.8956,91.51,10.13
san fernando,87,ML,1619574645,31,13.3034,-4.8956,91.51,10.13
wana,37,PK,1619574891,31,32.2989,69.5725,72.99,2.86
yulara,0,AU,1619574875,32,-25.2406,130.9889,69.8,14.97
tahta,0,EG,1619574880,32,26.7693,31.5021,69.8,9.22
airai,9,TL,1619574730,33,-8.9266,125.4092,73.8,1.32
defiance,1,US,1619574496,33,41.3334,-84.45,77.0,10.36
beckley,1,US,1619574797,33,37.7782,-81.1882,71.6,5.75
ayagoz,54,KZ,1619574888,33,47.9714,80.4392,62.53,2.59
osakarovka,100,KZ,1619574838,34,50.565,72.5692,61.61,18.9
klyuchi,100,RU,1619574857,34,52.2667,79.1667,64.78,14.88
cockburn town,41,AU,1619574794,34,-32.0833,141.0,68.0,8.05
aklavik,6,CA,1619574765,34,68.2191,-135.0107,30.2,5.75
inuvik,6,CA,1619574840,34,68.3499,-133.7218,30.2,5.75
trelew,87,AR,1619574774,34,-43.249,-65.3051,66.11,9.04
leh,5,IN,1619574885,35,34.1667,77.5833,36.07,2.28
kyzyl-suu,0,KG,1619574865,36,42.3414,78.0056,55.51,4.16
haines junction,90,US,1619574890,36,59.2286,-135.4441,46.4,4.61
astana,0,KZ,1619574637,36,51.1801,71.446,64.4,13.42
carnarvon,0,AU,1619574673,36,-24.8667,113.6333,78.8,8.05
